time,motor0,motor1,motor2,x,y,z,wx,wy,wz,ux,uy,uz
2.01,0.54,-0.29,-0.36,0.00,0.00,0.00,3.14,0.00,0.00,0.55,-0.27,-0.36
2.01,0.56,-0.31,-0.38,0.00,0.00,0.00,3.15,0.00,0.00,0.62,-0.31,-0.40
2.03,0.56,-0.31,-0.38,0.00,0.00,0.00,3.15,0.00,0.00,0.67,-0.36,-0.47
2.05,0.57,-0.31,-0.38,0.00,0.00,0.00,3.15,0.00,0.00,0.67,-0.39,-0.47
2.07,0.57,-0.31,-0.38,0.00,0.00,0.00,3.14,0.00,0.00,0.68,-0.39,-0.48
2.08,0.57,-0.31,-0.38,0.00,0.00,0.00,3.15,0.00,0.00,0.68,-0.39,-0.48
2.10,0.57,-0.31,-0.38,0.00,0.00,0.00,3.15,0.00,0.00,0.68,-0.39,-0.47
2.12,0.57,-0.31,-0.38,0.00,0.00,0.00,3.15,0.00,0.00,0.69,-0.39,-0.47
2.14,0.56,-0.31,-0.38,0.00,0.00,0.00,3.15,0.00,0.00,0.67,-0.40,-0.47
2.16,0.56,-0.31,-0.38,0.00,0.00,0.00,3.15,0.00,0.00,0.67,-0.39,-0.47
2.17,0.56,-0.31,-0.38,0.00,0.00,0.00,3.15,0.00,0.00,0.67,-0.40,-0.48
2.19,0.57,-0.31,-0.38,0.00,0.00,0.00,3.14,0.00,0.00,0.68,-0.39,-0.47
2.21,0.56,-0.31,-0.38,0.00,0.00,0.00,3.15,0.00,0.00,0.67,-0.39,-0.47
2.23,0.56,-0.31,-0.38,0.00,0.00,0.00,3.15,0.00,0.00,0.67,-0.38,-0.47
2.25,0.57,-0.31,-0.38,0.00,0.00,0.00,3.15,0.00,0.00,0.68,-0.39,-0.47
2.27,0.57,-0.31,-0.38,0.00,0.00,0.00,3.15,0.00,0.00,0.68,-0.39,-0.47
2.28,0.57,-0.31,-0.38,0.00,0.00,0.00,3.15,0.00,0.00,0.67,-0.39,-0.46
2.30,0.56,-0.31,-0.38,0.00,0.00,0.00,3.14,0.00,0.00,0.68,-0.39,-0.47
2.32,0.56,-0.31,-0.38,0.00,0.00,0.00,3.15,0.00,0.00,0.67,-0.39,-0.47
2.34,0.57,-0.31,-0.38,0.00,0.00,0.00,3.14,0.00,0.00,0.67,-0.39,-0.47
2.36,0.57,-0.31,-0.38,0.00,0.00,0.00,3.14,0.00,0.00,0.68,-0.39,-0.47
2.37,0.57,-0.31,-0.37,0.00,0.00,0.00,3.15,0.00,0.00,0.68,-0.39,-0.46
2.39,0.57,-0.31,-0.38,0.00,0.00,0.00,3.15,0.00,0.00,0.67,-0.40,-0.48
2.41,0.56,-0.31,-0.38,0.00,0.00,0.00,3.15,0.00,0.00,0.67,-0.39,-0.46
2.43,0.56,-0.31,-0.38,0.00,0.00,0.00,3.15,0.00,0.00,0.67,-0.40,-0.47
2.45,0.57,-0.31,-0.38,0.00,0.00,0.00,3.14,0.00,0.00,0.67,-0.40,-0.47
2.47,0.57,-0.31,-0.38,0.00,0.00,0.00,3.15,0.00,0.00,0.67,-0.38,-0.47
2.48,0.57,-0.31,-0.38,0.00,0.00,0.00,3.14,0.00,0.00,0.67,-0.39,-0.47
2.50,0.56,-0.31,-0.38,0.00,0.00,0.00,3.15,0.00,0.00,0.68,-0.39,-0.47
2.52,0.56,-0.31,-0.38,0.00,0.00,0.00,3.14,0.00,0.00,0.68,-0.40,-0.48
2.54,0.57,-0.31,-0.38,0.00,0.00,0.00,3.14,0.00,0.00,0.68,-0.39,-0.47
2.56,0.56,-0.31,-0.38,0.00,0.00,0.00,3.14,0.00,0.00,0.68,-0.40,-0.47
2.57,0.57,-0.31,-0.38,0.00,0.00,0.00,3.15,0.00,0.00,0.67,-0.39,-0.47
2.59,0.57,-0.31,-0.38,0.00,0.00,-0.00,3.15,0.00,0.00,0.68,-0.39,-0.48
2.61,0.57,-0.31,-0.38,0.00,0.00,0.00,3.14,0.00,0.00,0.67,-0.39,-0.48
2.63,0.56,-0.31,-0.38,0.00,0.00,0.00,3.15,0.00,0.00,0.68,-0.40,-0.47
2.65,0.57,-0.31,-0.38,0.00,0.00,0.00,3.15,0.00,0.00,0.67,-0.39,-0.47
2.67,0.57,-0.31,-0.38,0.00,0.00,0.00,3.15,0.00,0.00,0.68,-0.39,-0.47
2.68,0.57,-0.31,-0.38,0.00,0.00,0.00,3.14,0.00,0.00,0.67,-0.39,-0.48
2.70,0.57,-0.31,-0.38,0.00,0.00,0.00,3.15,0.00,0.00,0.67,-0.40,-0.47
2.72,0.57,-0.31,-0.38,0.00,0.00,0.00,3.15,0.00,0.00,0.68,-0.39,-0.48
2.74,0.57,-0.31,-0.38,0.00,0.00,0.00,3.15,0.00,0.00,0.67,-0.40,-0.48
2.76,0.57,-0.31,-0.38,0.00,0.00,-0.00,3.15,0.00,0.00,0.68,-0.40,-0.48
2.78,0.57,-0.31,-0.38,0.00,0.00,0.00,3.15,0.00,0.00,0.67,-0.39,-0.47
2.79,0.57,-0.31,-0.38,0.00,0.00,0.00,3.14,0.00,0.00,0.67,-0.39,-0.48
2.81,0.57,-0.31,-0.38,0.00,0.00,0.00,3.14,0.00,0.00,0.67,-0.40,-0.47
2.83,0.57,-0.31,-0.38,0.00,0.00,0.00,3.15,0.00,0.00,0.68,-0.39,-0.47
2.85,0.56,-0.31,-0.38,0.00,0.00,0.00,3.16,0.00,0.00,0.67,-0.39,-0.47
2.87,0.56,-0.31,-0.38,0.00,0.00,0.00,3.15,0.00,0.00,0.68,-0.38,-0.48
2.88,0.57,-0.31,-0.38,0.00,0.00,0.00,3.15,0.00,0.00,0.68,-0.39,-0.47
2.90,0.57,-0.31,-0.38,0.00,0.00,0.00,3.15,0.00,0.00,0.68,-0.39,-0.47
2.92,0.57,-0.31,-0.38,0.00,0.00,0.00,3.15,0.00,0.00,0.67,-0.40,-0.47
2.94,0.57,-0.31,-0.38,0.00,0.00,-0.00,3.15,0.00,0.00,0.67,-0.40,-0.48
2.96,0.57,-0.31,-0.38,0.00,0.00,0.00,3.15,0.00,0.00,0.67,-0.40,-0.48
2.98,0.57,-0.31,-0.38,0.00,0.00,-0.00,3.14,0.00,0.00,0.67,-0.40,-0.49
2.99,0.57,-0.30,-0.39,-0.00,0.00,0.00,3.15,0.00,0.00,0.67,-0.40,-0.47
3.01,0.57,-0.31,-0.38,0.00,0.00,0.00,3.15,0.00,0.00,0.68,-0.40,-0.48
3.03,0.56,-0.31,-0.37,-0.00,0.00,0.00,3.15,0.00,0.00,0.66,-0.41,-0.47
3.05,0.57,-0.30,-0.38,0.00,-0.00,0.00,3.15,0.00,0.00,0.67,-0.41,-0.48
3.07,0.57,-0.31,-0.38,0.00,-0.00,-0.00,3.15,0.00,0.00,0.67,-0.43,-0.49
3.09,0.57,-0.30,-0.38,-0.00,-0.01,-0.00,3.14,0.00,0.00,0.66,-0.46,-0.48
3.11,0.57,-0.31,-0.38,-0.00,-0.01,0.00,3.15,0.00,0.00,0.64,-0.46,-0.46
3.12,0.56,-0.30,-0.38,-0.01,-0.01,0.00,3.14,0.00,0.00,0.61,-0.49,-0.46
3.14,0.56,-0.30,-0.37,-0.03,-0.04,0.01,3.15,0.00,0.00,0.49,-0.63,-0.41
3.16,0.55,-0.27,-0.38,-0.06,-0.09,0.01,3.15,0.00,0.00,0.31,-0.88,-0.44
3.18,0.52,-0.25,-0.36,-0.10,-0.18,0.00,3.15,0.00,0.00,0.03,-1.42,-0.45
3.20,0.49,-0.23,-0.35,-0.23,-0.38,0.05,3.15,0.00,0.00,-0.76,-2.62,-0.18
3.22,0.49,-0.23,-0.34,-0.40,-0.62,0.18,-3.15,0.00,0.00,-1.94,-4.03,0.64
3.24,0.52,-0.25,-0.35,-0.56,-0.81,0.37,-3.15,0.00,0.00,-2.95,-5.23,1.88
3.26,0.55,-0.26,-0.39,-0.63,-0.93,0.52,-3.15,0.00,0.01,-3.33,-5.95,2.81
3.28,0.56,-0.27,-0.40,-0.70,-1.06,0.71,-3.15,0.00,0.01,-3.72,-6.74,3.95
3.29,0.58,-0.27,-0.43,-0.74,-1.18,0.89,-3.15,0.00,0.01,-3.97,-7.48,5.03
Fatal Err: Fell over
